EmployeeID,SupervisorID,Level,Name,Email,DOB,HireDate,Supervisor,DivisionID,Division
1,1,1,Susan McCEO,susan_mcceo@mockorg.com,1975-08-28,2010-06-05,Y,1,CEO
2,1,2,Mr. Mark Sanchez MD,mr._mark_sanchez_md@mockorg.com,2005-08-22,1992-12-17,Y,2,Finance
12,2,3,Anna Richardson,anna_richardson@mockorg.com,1986-02-18,1990-03-27,Y,2,Finance
13,2,3,Kevin Jenkins,kevin_jenkins@mockorg.com,2005-12-25,2019-07-27,Y,2,Finance
14,2,3,Rebekah Walker,rebekah_walker@mockorg.com,1995-02-15,1993-05-28,Y,2,Finance
15,2,3,James Sanchez,james_sanchez@mockorg.com,1965-05-10,2008-01-04,Y,2,Finance
16,2,3,Angela Young,angela_young@mockorg.com,2003-09-30,2008-05-16,Y,2,Finance
85,12,4,Brandon Miller,brandon_miller@mockorg.com,1993-12-09,1997-01-15,Y,2,Finance
86,12,4,Kathryn Hernandez,kathryn_hernandez@mockorg.com,1987-03-16,2003-06-01,Y,2,Finance
87,12,4,Nicholas Long,nicholas_long@mockorg.com,1999-06-27,2022-08-10,Y,2,Finance
88,12,4,Christopher Price,christopher_price@mockorg.com,1992-03-01,2015-05-05,Y,2,Finance
89,12,4,Richard Torres,richard_torres@mockorg.com,2004-08-22,1999-05-22,Y,2,Finance
90,12,4,Jimmy Olson,jimmy_olson@mockorg.com,1974-10-09,2007-05-11,Y,2,Finance
91,12,4,Benjamin Collier,benjamin_collier@mockorg.com,1975-05-12,2010-04-15,Y,2,Finance
92,12,4,David Griffin,david_griffin@mockorg.com,1977-02-21,2011-01-01,Y,2,Finance
93,13,4,Laura Simpson,laura_simpson@mockorg.com,1980-01-05,2012-01-22,Y,2,Finance
94,13,4,Adam Wilson,adam_wilson@mockorg.com,1971-05-17,2016-10-11,Y,2,Finance
95,13,4,Laura Miller,laura_miller@mockorg.com,1983-08-13,2011-04-22,Y,2,Finance
96,13,4,Samantha Butler,samantha_butler@mockorg.com,1970-12-15,2011-09-03,Y,2,Finance
97,13,4,Wayne Archer,wayne_archer@mockorg.com,2000-05-21,2020-10-29,Y,2,Finance
98,13,4,Jordan Brown,jordan_brown@mockorg.com,1976-04-16,2022-10-10,Y,2,Finance
99,13,4,Maria Everett,maria_everett@mockorg.com,1997-04-19,2014-05-20,Y,2,Finance
100,14,4,Christina Pratt,christina_pratt@mockorg.com,1984-03-16,1994-10-13,Y,2,Finance
101,14,4,Monica Campos,monica_campos@mockorg.com,1994-05-12,2009-09-28,Y,2,Finance
102,14,4,Frank Weber,frank_weber@mockorg.com,1973-11-01,2018-11-10,Y,2,Finance
103,14,4,Brent Quinn,brent_quinn@mockorg.com,1985-10-16,1998-01-19,Y,2,Finance
104,14,4,William Jackson,william_jackson@mockorg.com,1987-12-28,2015-01-14,Y,2,Finance
105,15,4,Kimberly Robinson,kimberly_robinson@mockorg.com,1967-05-15,1999-11-15,Y,2,Finance
106,15,4,Paige Hughes,paige_hughes@mockorg.com,1996-12-12,2015-05-15,Y,2,Finance
107,15,4,Aaron Jones,aaron_jones@mockorg.com,1997-08-10,1996-02-21,Y,2,Finance
