EmployeeID,SupervisorID,Level,Name,Email,DOB,HireDate,Supervisor,DivisionID,Division
1,1,1,Susan McCEO,susan_mcceo@mockorg.com,1975-08-28,2010-06-05,Y,1,CEO
2,1,2,Mr. Mark Sanchez MD,mr._mark_sanchez_md@mockorg.com,2005-08-22,1992-12-17,Y,2,Finance
12,2,3,Anna Richardson,anna_richardson@mockorg.com,1986-02-18,1990-03-27,N,2,Finance
13,2,3,Kevin Jenkins,kevin_jenkins@mockorg.com,2005-12-25,2019-07-27,N,2,Finance
14,2,3,Rebekah Walker,rebekah_walker@mockorg.com,1995-02-15,1993-05-28,N,2,Finance
15,2,3,James Sanchez,james_sanchez@mockorg.com,1965-05-10,2008-01-04,N,2,Finance
16,2,3,Angela Young,angela_young@mockorg.com,2003-09-30,2008-05-16,N,2,Finance
3,1,2,Michael Miller,michael_miller@mockorg.com,1970-07-05,2018-09-12,Y,3,HR
17,3,3,Jason Nicholson,jason_nicholson@mockorg.com,1984-02-18,2004-01-07,N,3,HR
18,3,3,Reginald Smith,reginald_smith@mockorg.com,1982-12-27,2012-03-27,N,3,HR
19,3,3,Evan Reed,evan_reed@mockorg.com,1991-08-25,2008-01-24,N,3,HR
20,3,3,Mr. Jeffrey House Jr.,mr._jeffrey_house_jr.@mockorg.com,1967-09-11,1995-07-21,N,3,HR
21,3,3,Charles Collins,charles_collins@mockorg.com,1995-08-21,2023-04-30,N,3,HR
22,3,3,Jonathan Allen,jonathan_allen@mockorg.com,2002-08-02,2024-08-17,N,3,HR
4,1,2,Emma Lopez,emma_lopez@mockorg.com,2005-09-23,2001-06-09,Y,4,R&D
23,4,3,Alyssa Snyder,alyssa_snyder@mockorg.com,1982-06-30,2008-10-09,N,4,R&D
24,4,3,Alexander Jacobs,alexander_jacobs@mockorg.com,1999-06-16,2001-08-30,N,4,R&D
25,4,3,Andrew Patel,andrew_patel@mockorg.com,1999-01-01,2006-09-14,N,4,R&D
26,4,3,Brian Horn,brian_horn@mockorg.com,1994-07-06,1998-11-18,N,4,R&D
27,4,3,Barbara Castro,barbara_castro@mockorg.com,1965-02-12,2000-06-11,N,4,R&D
28,4,3,Mr. Edward Beck,mr._edward_beck@mockorg.com,1974-08-05,2017-03-16,N,4,R&D
5,1,2,Lisa Reid,lisa_reid@mockorg.com,2003-04-12,2023-06-21,Y,5,Manufacturing
29,5,3,Laura Chung,laura_chung@mockorg.com,1974-08-16,2023-12-19,N,5,Manufacturing
30,5,3,Justin Lopez,justin_lopez@mockorg.com,1968-11-08,1999-08-13,N,5,Manufacturing
31,5,3,Aaron Campbell,aaron_campbell@mockorg.com,2003-08-15,2017-12-11,N,5,Manufacturing
32,5,3,Tracey Washington,tracey_washington@mockorg.com,1996-06-29,2021-01-24,N,5,Manufacturing
33,5,3,Kathleen Moore,kathleen_moore@mockorg.com,2004-03-16,2001-08-22,N,5,Manufacturing
34,5,3,David Logan,david_logan@mockorg.com,1976-04-28,2013-06-14,N,5,Manufacturing
35,5,3,Teresa Briggs,teresa_briggs@mockorg.com,2004-10-27,1997-07-09,N,5,Manufacturing
36,5,3,Alvin Lee,alvin_lee@mockorg.com,1967-09-03,1995-01-26,N,5,Manufacturing
